DA LL 1,DA LL 2,DBL1,DBL2,DB LL 3,DB LL 4,DBL20,DBL21
0.887200376,0.619342184,0.738727131,0.703706647,0.521705544,0.779827787,0.327777437,0.657844628
0.371033315,0.109108893,0.188624562,0.509045622,0.032569112,0.63432331,0.518679932,0.05238887
0.874092691,0.485911646,0.54176779,0.896968666,0.950177562,0.792778798,0.424093421,0.910008246
0.371532513,0.133333868,0.434198631,0.4644874,0.465279658,0.419725691,0.507710262,0.476438413
0.442559569,0.317568733,0.222603846,0.291191583,0.187669928,0.036197379,0.509498673,0.081605608
0.277795967,0.548414004,0.876593423,0.875032524,0.902415546,0.895480821,0.077859579,0.924674183
0.363959444,0.070254013,0.587899063,0.094315445,0.592996945,0.9530618,0.5022497,0.053077234
0.545335046,0.21005256,0.497832298,0.088561515,0.678874513,0.270997676,0.85519174,0.085099207
0.462328734,0.528952176,0.895978093,0.508064895,0.928398686,0.463508309,0.04735769,0.501500101
0.549338983,0.108546199,0.479193765,0.487518205,0.440908816,0.857543629,0.51725458,0.486652715
0.150274253,0.083744218,0.458065348,0.69673395,0.814199645,0.400357788,0.441975818,0.615144115
0.295881478,0.147442931,0.823881334,0.289030398,0.61870678,0.93536304,0.215696755,0.541434731
